new_municipality,AED_number,points_coordinates
"burg-reuland, belgium",1,"(6.1360199, 50.1955908)"
"wihogne, belgium",1,"(5.506690799999999, 50.72713040000001)"
"andenne, belgium",1,"(5.0964753, 50.4911155)"
"wegnez, belgium",1,"(5.816675699999999, 50.5792278)"
"antheit, belgium",1,"(5.2403601, 50.5489545)"
"warnant-dreye, belgium",1,"(5.22753, 50.59523)"
"waret l evêque, belgium",1,"(5.0612138, 50.5484795)"
"argenteau, belgium",1,"(5.687604599999999, 50.6961555)"
"awirs, belgium",1,"(5.4061097, 50.5999117)"
"ayeneux, belgium",1,"(5.716811, 50.6077652)"
"banneux, belgium",1,"(5.73891, 50.54086)"
"voroux-lez-liers, belgium",1,"(5.5549161, 50.6875929)"
"vivégnis, belgium",1,"(5.6467328, 50.6948109)"
"bas-oha, belgium",1,"(5.1908989, 50.5262731)"
"villers-aux-tours, belgium",1,"(5.5162168, 50.4978813)"
"villers, belgium",1,"(5.99379, 50.38211)"
"bombaye, belgium",1,"(5.7448822, 50.7307281)"
"vieuxville, belgium",1,"(5.54955, 50.39379)"
"comblain-la-tour, belgium",1,"(5.5717044, 50.4542848)"
"vaux-et-borset, belgium",1,"(5.232069999999999, 50.61331999999999)"
"slins, belgium",1,"(5.5637966, 50.7277297)"
"micheroux, belgium",1,"(5.72117, 50.6265063)"
"hody, belgium",1,"(5.5038981, 50.4864593)"
"neu-moresnet, belgium",1,"(6.0213233, 50.7160816)"
"hognoul, belgium",1,"(5.4543405, 50.6814461)"
"mortier, belgium",1,"(5.7434908, 50.6850484)"
"moresnet, belgium",1,"(5.988995900000001, 50.721135)"
"hombourg, belgium",1,"(5.9211923, 50.72333649999999)"
"houtain-saint-siméon, belgium",1,"(5.6118142, 50.7398627)"
"moha, belgium",1,"(5.186209000000001, 50.5476918)"
"jehay, belgium",1,"(5.3247092, 50.5724773)"
"merdorp, belgium",1,"(5.000439999999999, 50.64832)"
"ocquier, belgium",1,"(5.393732099999999, 50.3956189)"
"membach, belgium",1,"(5.99501, 50.61904999999999)"
"melen, belgium",1,"(5.7359996, 50.6460486)"
"marneffe, belgium",1,"(5.146739999999999, 50.58038)"
"julémont, belgium",1,"(5.7713927, 50.68601719999999)"
"jupille, belgium",1,"(5.634880000000001, 50.64547)"
"kelmis, belgium",1,"(6.0118139, 50.7163786)"
"la reid, belgium",1,"(5.790589, 50.4893888)"
"lavoir, belgium",1,"(5.1196405, 50.550264)"
"lens-sur-geer, belgium",1,"(5.350989999999999, 50.72114)"
"liers, belgium",1,"(5.563828099999999, 50.693646)"
"hodeige, belgium",1,"(5.34167, 50.69607000000001)"
"hockai-francorchamps, belgium",1,"(5.9522139, 50.4543456)"
"sippenaeken, belgium",1,"(5.933721299999999, 50.750727)"
"flémalle-haute, belgium",1,"(5.4459559, 50.6001541)"
"cornesse, belgium",1,"(5.7955711, 50.5723031)"
"crehen, belgium",1,"(5.0634, 50.65993)"
"elsenborn, belgium",1,"(6.2194714, 50.4574199)"
"fexhe-slins, belgium",1,"(5.56954, 50.72003)"
"richelle, belgium",1,"(5.695299299999999, 50.7136425)"
"remouchant, belgium",1,"(5.71185, 50.47987)"
"omal, belgium",1,"(5.19937, 50.65584)"
"fraipont, belgium",1,"(5.7238334, 50.56564059999999)"
"rahier, belgium",1,"(5.7807855, 50.3848697)"
"fraiture, belgium",1,"(5.75145, 50.25815)"
"racour, belgium",1,"(5.028927299999999, 50.7396057)"
"grivegnee, belgium",1,"(5.61074, 50.6216)"
"harzé, belgium",1,"(5.66651, 50.44096)"
"hermalle-sous-huy, belgium",1,"(5.361915199999999, 50.55913779999999)"
"hermée, belgium",1,"(5.6184661, 50.7079438)"
"lens-saint-remy, belgium",1,"(5.133125800000001, 50.6543514)"
